Page,HarakatStage,NewLetters,ActiveLetters,L1Slots,L2Slots,L3Slots,SpecialInjection,Status
1,FATHAH,اب,اب,0,4,15,NONE,REVIEW_CANDIDATE
2,FATHAH,تث,ابتث,0,4,15,NONE,REVIEW_CANDIDATE
3,FATHAH,جحخ,ابتثجحخ,0,4,15,NONE,REVIEW_CANDIDATE
4,FATHAH,دذ,ابتثجحخدذ,0,4,15,NONE,REVIEW_CANDIDATE
5,FATHAH,رز,ابتثجحخدذرز,0,4,15,NONE,REVIEW_CANDIDATE
6,FATHAH,سش,ابتثجحخدذرزسش,0,4,15,NONE,REVIEW_CANDIDATE
7,FATHAH,صض,ابتثجحخدذرزسشصض,0,4,15,NONE,REVIEW_CANDIDATE
8,FATHAH,طظ,ابتثجحخدذرزسشصضطظ,0,4,15,NONE,REVIEW_CANDIDATE
9,FATHAH,عغ,ابتثجحخدذرزسشصضطظعغ,0,4,15,NONE,REVIEW_CANDIDATE
10,FATHAH,فق,ابتثجحخدذرزسشصضطظعغفق,0,4,15,NONE,REVIEW_CANDIDATE
11,FATHAH,ك,ابتثجحخدذرزسشصضطظعغفقك,0,4,15,NONE,REVIEW_CANDIDATE
12,FATHAH,ل,ابتثجحخدذرزسشصضطظعغفقكل,0,4,15,NONE,REVIEW_CANDIDATE
13,FATHAH,م,ابتثجحخدذرزسشصضطظعغفقكلم,0,4,15,NONE,REVIEW_CANDIDATE
14,FATHAH,ه,ابتثجحخدذرزسشصضطظعغفقكلمه,0,4,15,NONE,REVIEW_CANDIDATE
15,FATHAH,و,ابتثجحخدذرزسشصضطظعغفقكلمهو,0,4,15,NONE,REVIEW_CANDIDATE
16,FATHAH,ني,ابتثجحخدذرزسشصضطظعغفقكلمنهوي,0,4,15,NONE,REVIEW_CANDIDATE
17,KASRAH,,ابتثجحخدذرزسشصضطظعغفقكلمنهوي,0,4,15,NONE,REVIEW_CANDIDATE
18,KASRAH,,ابتثجحخدذرزسشصضطظعغفقكلمنهوي,0,4,15,NONE,REVIEW_CANDIDATE
19,KASRAH,,ابتثجحخدذرزسشصضطظعغفقكلمنهوي,0,4,15,NONE,REVIEW_CANDIDATE
20,SPECIAL,,ابتثجحخدذرزسشصضطظعغفقكلمنهوي,0,0,0,LETTER_NAMES,REVIEW_CANDIDATE
21,KASRAH,,ابتثجحخدذرزسشصضطظعغفقكلمنهوي,0,4,15,NONE,REVIEW_CANDIDATE
22,KASRAH,,ابتثجحخدذرزسشصضطظعغفقكلمنهوي,0,4,15,NONE,REVIEW_CANDIDATE
23,KASRAH,,ابتثجحخدذرزسشصضطظعغفقكلمنهوي,0,4,15,NONE,REVIEW_CANDIDATE
24,KASRAH,,ابتثجحخدذرزسشصضطظعغفقكلمنهوي,0,4,15,NONE,REVIEW_CANDIDATE
25,KASRAH,,ابتثجحخدذرزسشصضطظعغفقكلمنهوي,0,4,15,NONE,REVIEW_CANDIDATE
26,DHAMMAH,,ابتثجحخدذرزسشصضطظعغفقكلمنهوي,0,4,15,NONE,REVIEW_CANDIDATE
27,DHAMMAH,,ابتثجحخدذرزسشصضطظعغفقكلمنهوي,0,4,15,NONE,REVIEW_CANDIDATE
28,DHAMMAH,,ابتثجحخدذرزسشصضطظعغفقكلمنهوي,0,4,15,NONE,REVIEW_CANDIDATE
29,DHAMMAH,,ابتثجحخدذرزسشصضطظعغفقكلمنهوي,0,4,15,NONE,REVIEW_CANDIDATE
30,DHAMMAH,,ابتثجحخدذرزسشصضطظعغفقكلمنهوي,0,4,15,NONE,REVIEW_CANDIDATE
31,DHAMMAH,,ابتثجحخدذرزسشصضطظعغفقكلمنهوي,0,4,15,NONE,REVIEW_CANDIDATE
32,DHAMMAH,,ابتثجحخدذرزسشصضطظعغفقكلمنهوي,0,4,15,NONE,REVIEW_CANDIDATE
33,DHAMMAH,,ابتثجحخدذرزسشصضطظعغفقكلمنهوي,0,4,15,NONE,REVIEW_CANDIDATE
34,DHAMMAH,,ابتثجحخدذرزسشصضطظعغفقكلمنهوي,0,4,15,NONE,REVIEW_CANDIDATE
35,DHAMMAH,,ابتثجحخدذرزسشصضطظعغفقكلمنهوي,0,4,15,NONE,REVIEW_CANDIDATE
36,DHAMMAH,,ابتثجحخدذرزسشصضطظعغفقكلمنهوي,0,4,15,NONE,REVIEW_CANDIDATE
37,MIXED,,ابتثجحخدذرزسشصضطظعغفقكلمنهوي,0,4,15,NONE,REVIEW_CANDIDATE
38,MIXED,,ابتثجحخدذرزسشصضطظعغفقكلمنهوي,0,4,15,NONE,REVIEW_CANDIDATE
39,MIXED,,ابتثجحخدذرزسشصضطظعغفقكلمنهوي,0,4,15,NONE,REVIEW_CANDIDATE
40,SPECIAL,,ابتثجحخدذرزسشصضطظعغفقكلمنهوي,0,0,0,LETTER_NAMES,REVIEW_CANDIDATE
